L -258.5000, 333.3000, 2.3000,  -237.1000, 333.3000, 2.3000,  199, 21, 133
L 913.0000, 1121.0000, 47.2000,  917.0000, 1121.0000, 47.2000,  0, 0, 0
L 913.0000, 1090.3998, 47.2000,  917.0000, 1090.3998, 47.2000,  0, 0, 0
L 947.6000, 1090.3998, 45.4000,  953.0000, 1090.3998, 47.0000,  0, 0, 0
L 1177.5000, 1324.2997, 115.7000,  1146.7997, 1324.2997, 115.7000,  255, 255, 0
L 951.6000, 1126.3998, 47.4000,  951.6000, 1189.7997, 47.4000,  0, 0, 0
L 1181.5000, 1322.7000, 117.5000,  1177.5000, 1322.7000, 117.3000,  0, 0, 0
L 1181.5000, 1306.5000, 117.5000,  1181.5000, 1322.7000, 117.5000,  0, 0, 0
L 1177.5000, 1306.5000, 117.3000,  1181.5000, 1306.5000, 117.5000,  0, 0, 0
L 1177.5000, 1301.1000, 117.3000,  1177.5000, 1306.5000, 117.3000,  0, 0, 0
L 1181.3998, 1301.1000, 117.3000,  1177.5000, 1301.1000, 117.3000,  0, 0, 0
L 1181.3998, 1241.5000, 102.2000,  1181.3998, 1249.0000, 104.1000,  0, 0, 0
L 1177.3998, 1241.5000, 102.2000,  1181.3998, 1241.5000, 102.2000,  0, 0, 0
L 1177.3998, 1236.1000, 102.2000,  1177.3998, 1241.5000, 102.2000,  0, 0, 0
L 1182.7997, 1236.1000, 102.2000,  1177.3998, 1236.1000, 102.2000,  0, 0, 0
L 1182.7997, 1240.1000, 102.4000,  1182.7997, 1236.1000, 102.2000,  0, 0, 0
L 1194.6000, 1240.1000, 102.4000,  1182.7997, 1240.1000, 102.4000,  0, 0, 0
L 1194.6000, 1236.1000, 102.4000,  1194.6000, 1240.1000, 102.4000,  0, 0, 0
L 1198.6000, 1236.1000, 102.4000,  1194.6000, 1236.1000, 102.4000,  0, 0, 0
L 1198.6000, 1213.0000, 102.4000,  1198.6000, 1236.1000, 102.4000,  0, 0, 0
L 1194.6000, 1213.0000, 102.4000,  1198.6000, 1213.0000, 102.4000,  0, 0, 0
L 1194.6000, 1209.0000, 102.4000,  1194.6000, 1213.0000, 102.4000,  0, 0, 0
L 1182.7997, 1209.0000, 102.4000,  1194.6000, 1209.0000, 102.4000,  0, 0, 0
L 1182.7997, 1213.0000, 102.2000,  1182.7997, 1209.0000, 102.4000,  0, 0, 0
L 1177.3998, 1213.0000, 102.2000,  1182.7997, 1213.0000, 102.2000,  0, 0, 0
L 1177.3998, 1207.6000, 102.2000,  1177.3998, 1213.0000, 102.2000,  0, 0, 0
L 1181.3998, 1207.6000, 102.2000,  1177.3998, 1207.6000, 102.2000,  0, 0, 0
L 1181.3998, 1148.0000, 87.2000,  1181.3998, 1155.5000, 89.1000,  0, 0, 0
